Freq,CATEGORY,PRIMARY_COM_NAME,SCI_NAME,ORDER1,FAMILY,SPECIES_GROUP
447,species,Prairie Warbler,Setophaga discolor,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
433,species,Northern Rough-winged Swallow,Stelgidopteryx serripennis,Passeriformes,Hirundinidae (Swallows),Martins and Swallows
431,species,Eastern Kingbird,Tyrannus tyrannus,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
420,species,Louisiana Waterthrush,Parkesia motacilla,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
414,species,Eastern Wood-Pewee,Contopus virens,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
412,species,White-breasted Nuthatch,Sitta carolinensis,Passeriformes,Sittidae (Nuthatches),Nuthatches
354,species,Tree Swallow,Tachycineta bicolor,Passeriformes,Hirundinidae (Swallows),Martins and Swallows
352,species,Golden-crowned Kinglet,Regulus satrapa,Passeriformes,Regulidae (Kinglets),Kinglets
339,species,American Crow,Corvus brachyrhynchos,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens"
327,species,House Wren,Troglodytes aedon,Passeriformes,Troglodytidae (Wrens),Wrens
320,species,Tufted Titmouse,Baeolophus bicolor,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)","Tits, Chickadees, and Titmice"
273,species,Field Sparrow,Spizella pusilla,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows
265,species,Hooded Warbler,Setophaga citrina,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
254,species,Prothonotary Warbler,Protonotaria citrea,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
251,species,Orchard Oriole,Icterus spurius,Passeriformes,Icteridae (Troupials and Allies),Blackbirds
246,species,Pine Warbler,Setophaga pinus,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
238,species,Blue-winged Warbler,Vermivora cyanoptera,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
213,species,Brown Creeper,Certhia americana,Passeriformes,Certhiidae (Treecreepers),Treecreepers
213,issf,Palm Warbler (Yellow),Setophaga palmarum hypochrysea,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
209,species,Kirtland's Warbler,Setophaga kirtlandii,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
208,species,Least Flycatcher,Empidonax minimus,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
183,species,Worm-eating Warbler,Helmitheros vermivorum,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
182,species,Savannah Sparrow,Passerculus sandwichensis,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows
178,species,Summer Tanager,Piranga rubra,Passeriformes,Cardinalidae (Cardinals and Allies),"Cardinals, Grosbeaks, and Allies"
177,species,Black-capped Chickadee,Poecile atricapillus,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)","Tits, Chickadees, and Titmice"
166,species,Tennessee Warbler,Leiothlypis peregrina,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
152,issf,Dark-eyed Junco (Slate-colored),Junco hyemalis hyemalis/carolinensis,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows
150,species,Carolina Wren,Thryothorus ludovicianus,Passeriformes,Troglodytidae (Wrens),Wrens
140,species,Brown Thrasher,Toxostoma rufum,Passeriformes,Mimidae (Mockingbirds and Thrashers),"Catbirds, Mockingbirds, and Thrashers"
130,species,Fish Crow,Corvus ossifragus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens"
129,species,Winter Wren,Troglodytes hiemalis,Passeriformes,Troglodytidae (Wrens),Wrens
124,species,Yellow-throated Vireo,Vireo flavifrons,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireos
107,issf,Red-winged Blackbird (Red-winged),Agelaius phoeniceus [phoeniceus Group],Passeriformes,Icteridae (Troupials and Allies),Blackbirds
104,species,Kentucky Warbler,Geothlypis formosa,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
103,species,Fox Sparrow,Passerella iliaca,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows
